Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.51  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,10s
Total data points,7582      
Trigger,0         
Start time,2021-05-19,12:19:12
End time,2021-05-20,09:22:55
Trigger time,2021-05-19,12:19:16
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",DC,100mV,,Off,+50.00,-50.00,[mV],28,5,6,0
CH2," CH 2","M",DC,100mV,,Off,+50.00,-50.00,[mV],0,13,23,0
CH3," CH 3","M",DC,100mV,,Off,+50.00,-50.00,[mV],9,22,8,0
CH4," CH 4","M",DC,100mV,,Off,+50.00,-50.00,[mV],21,0,21,0
CH5," CH 5","M",DC,100mV,,Off,+50.00,-50.00,[mV],28,16,2,0
CH6," CH 6","M",DC,100mV,,Off,+50.00,-50.00,[mV],5,23,30,0
CH7," CH 7","M",DC,100mV,,Off,+50.00,-50.00,[mV],30,23,1,0
CH8," CH 8","M",DC,100mV,,Off,+50.00,-50.00,[mV],28,0,17,0
CH9," CH 9","M",DC,100mV,,Off,+50.00,-50.00,[mV],17,11,7,0
CH10," CH10","M",DC,100mV,,Off,+50.00,-50.00,[mV],19,27,0,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1-10,AlarmOut
NO.,Time,ms,"mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","A1234567890","AO1234"
         1,2021/05/19 12:19:16,  0,+ 16.03,+  6.77,+ 41.00,+ 32.65,+  6.79,+  0.00,+  0.01,-  0.02,+  0.00,-  0.01,LLLLLLLLLL,LLLL
         2,2021/05/19 12:19:26,  0,+ 16.05,+  6.78,+ 41.04,+ 32.65,+  6.79,-  0.02,-  0.03,-  0.03,-  0.02,-  0.04,LLLLLLLLLL,LLLL
         3,2021/05/19 12:19:36,  0,+ 16.06,+  6.79,+ 41.13,+ 32.67,+  6.80,+  0.00,-  0.02,-  0.03,-  0.03,-  0.02,LLLLLLLLLL,LLLL
         4,2021/05/19 12:19:46,  0,+ 16.06,+  6.79,+ 41.12,+ 32.70,+  6.81,-  0.04,-  0.03,-  0.04,-  0.03,-  0.02,LLLLLLLLLL,LLLL
         5,2021/05/19 12:19:56,  0,+ 16.03,+  6.77,+ 41.02,+ 32.69,+  6.79,+  0.00,-  0.04,-  0.02,-  0.02,-  0.02,LLLLLLLLLL,LLLL
         6,2021/05/19 12:20:06,  0,+ 16.04,+  6.76,+ 40.92,+ 32.70,+  6.79,-  0.02,-  0.02,-  0.03,-  0.02,-  0.01,LLLLLLLLLL,LLLL
         7,2021/05/19 12:20:16,  0,+ 16.03,+  6.76,+ 40.81,+ 32.69,+  6.79,-  0.02,-  0.01,-  0.01,-  0.02,-  0.02,LLLLLLLLLL,LLLL
         8,2021/05/19 12:20:26,  0,+ 16.02,+  6.76,+ 40.78,+ 32.68,+  6.79,+  0.01,+  0.00,+  0.00,-  0.02,-  0.02,LLLLLLLLLL,LLLL
         9,2021/05/19 12:20:36,  0,+ 16.03,+  6.77,+ 40.76,+ 32.68,+  6.79,-  0.02,-  0.02,-  0.03,-  0.03,-  0.04,LLLLLLLLLL,LLLL
