NO.,Time,ms,mV,mV.1
1,2021/05/19 12:19:16,0,16.03,6.77
2,2021/05/19 12:19:26,0,16.05,6.78
3,2021/05/19 12:19:36,0,16.06,6.79
4,2021/05/19 12:19:46,0,16.06,6.79
5,2021/05/19 12:19:56,0,16.03,6.77
6,2021/05/19 12:20:06,0,16.04,6.76
7,2021/05/19 12:20:16,0,16.03,6.76
8,2021/05/19 12:20:26,0,16.02,6.76
9,2021/05/19 12:20:36,0,16.03,6.77
10,2021/05/19 12:20:46,0,16.04,6.76
11,2021/05/19 12:20:56,0,16.05,6.77
12,2021/05/19 12:21:06,0,16.04,6.76
13,2021/05/19 12:21:16,0,16.06,6.79
14,2021/05/19 12:21:26,0,16.08,6.8
15,2021/05/19 12:21:36,0,16.06,6.79
16,2021/05/19 12:21:46,0,16.08,6.79
17,2021/05/19 12:21:56,0,16.07,6.79
18,2021/05/19 12:22:06,0,16.06,6.79
19,2021/05/19 12:22:16,0,16.06,6.78
20,2021/05/19 12:22:26,0,16.08,6.79
21,2021/05/19 12:22:36,0,16.09,6.78
22,2021/05/19 12:22:46,0,16.09,6.79
23,2021/05/19 12:22:56,0,16.08,6.79
24,2021/05/19 12:23:06,0,16.09,6.79
25,2021/05/19 12:23:16,0,16.1,6.79
26,2021/05/19 12:23:26,0,16.12,6.81
27,2021/05/19 12:23:36,0,16.13,6.82
28,2021/05/19 12:23:46,0,16.14,6.82
29,2021/05/19 12:23:56,0,16.14,6.83
30,2021/05/19 12:24:06,0,16.14,6.83
31,2021/05/19 12:24:16,0,16.12,6.83
32,2021/05/19 12:24:26,0,16.13,6.82
33,2021/05/19 12:24:36,0,16.13,6.82
34,2021/05/19 12:24:46,0,16.14,6.82
35,2021/05/19 12:24:56,0,16.15,6.83
36,2021/05/19 12:25:06,0,16.17,6.85
37,2021/05/19 12:25:16,0,16.17,6.85
38,2021/05/19 12:25:26,0,16.18,6.85
39,2021/05/19 12:25:36,0,16.18,6.86
40,2021/05/19 12:25:46,0,16.19,6.86
41,2021/05/19 12:25:56,0,16.2,6.86
42,2021/05/19 12:26:06,0,16.2,6.86
