NO.,Time,ms,mV,mV.1
1,16/06/2021 10:30,0,9.3,3.85
2,16/06/2021 10:30,0,12.92,5.28
3,16/06/2021 10:30,0,12.51,5.18
4,16/06/2021 10:30,0,11.12,4.62
5,16/06/2021 10:30,0,12,4.98
6,16/06/2021 10:31,0,12.46,5.17
7,16/06/2021 10:31,0,10.45,4.35
8,16/06/2021 10:31,0,9.55,3.98
9,16/06/2021 10:31,0,9.09,3.79
10,16/06/2021 10:31,0,9.45,3.94
11,16/06/2021 10:31,0,11.04,4.57
12,16/06/2021 10:32,0,11.16,4.64
13,16/06/2021 10:32,0,12.69,5.28
14,16/06/2021 10:32,0,12.81,5.33
15,16/06/2021 10:32,0,13.59,5.64
16,16/06/2021 10:32,0,12.52,5.23
17,16/06/2021 10:32,0,13.75,5.73
18,16/06/2021 10:33,0,14.19,5.91
19,16/06/2021 10:33,0,14.47,6.01
20,16/06/2021 10:33,0,14.83,6.17
21,16/06/2021 10:33,0,12.26,5.13
22,16/06/2021 10:33,0,9.49,4.04
23,16/06/2021 10:33,0,10.54,4.42
24,16/06/2021 10:34,0,10.48,4.4
25,16/06/2021 10:34,0,14.95,6.17
26,16/06/2021 10:34,0,13.28,5.53
27,16/06/2021 10:34,0,10.21,4.29
28,16/06/2021 10:34,0,9.6,4.04
29,16/06/2021 10:34,0,14.25,5.9
30,16/06/2021 10:35,0,11.94,4.99
31,16/06/2021 10:35,0,10.07,4.23
32,16/06/2021 10:35,0,13.26,5.49
33,16/06/2021 10:35,0,13.75,5.74
34,16/06/2021 10:35,0,14.05,5.85
35,16/06/2021 10:35,0,14.1,5.87
36,16/06/2021 10:36,0,14.19,5.92
37,16/06/2021 10:36,0,14.38,6
38,16/06/2021 10:36,0,14.22,5.93
39,16/06/2021 10:36,0,12.71,5.32
40,16/06/2021 10:36,0,11.03,4.61
41,16/06/2021 10:36,0,10.42,4.37
42,16/06/2021 10:37,0,11.5,4.8
43,16/06/2021 10:37,0,12.69,5.27
44,16/06/2021 10:37,0,8.65,3.66
45,16/06/2021 10:37,0,10.61,4.43
46,16/06/2021 10:37,0,9.86,4.15
47,16/06/2021 10:37,0,9.69,4.07
48,16/06/2021 10:38,0,10.33,4.33
49,16/06/2021 10:38,0,11.24,4.7
50,16/06/2021 10:38,0,10.42,4.38
51,16/06/2021 10:38,0,10.31,4.32
52,16/06/2021 10:38,0,8.97,3.78
53,16/06/2021 10:38,0,8.67,3.64
54,16/06/2021 10:39,0,9.77,4.08
55,16/06/2021 10:39,0,9.14,3.84
56,16/06/2021 10:39,0,11.06,4.61
57,16/06/2021 10:39,0,8.64,3.62
58,16/06/2021 10:39,0,7.02,2.96
59,16/06/2021 10:39,0,7.24,3.05
60,16/06/2021 10:40,0,7.31,3.08
61,16/06/2021 10:40,0,7.19,3.02
62,16/06/2021 10:40,0,7.1,2.98
63,16/06/2021 10:40,0,7.55,3.17
64,16/06/2021 10:40,0,12.23,5.06
65,16/06/2021 10:40,0,10.8,4.5
